-21.96386899,64.02372102
-21.96388948,64.02374122
-21.96391018,64.02376153
-21.96395088,64.02380273
-21.96397057,64.02382369
-21.96398991,64.02384485
-21.96400913,64.02386618
-21.96402841,64.02388763
-21.96404793,64.02390923
-21.96406756,64.02393098
-21.96408707,64.02395294
-21.96410612,64.02397514
-21.96414245,64.02402024
-21.96416005,64.02404306
-21.96417773,64.02406597
-21.96419588,64.02408896
-21.96425401,64.02415824
-21.96427453,64.02418142
-21.96429559,64.02420464
-21.96433952,64.02425121
-21.96436258,64.02427453
-21.96438644,64.02429781
-21.96441103,64.02432105
-21.96443621,64.02434427
-21.96446204,64.02436746
-21.96448847,64.02439061
-21.96451561,64.02441369
-21.96457213,64.02445928
-21.96460134,64.02448162
-21.96463092,64.02450364
-21.96466086,64.02452532
-21.96469118,64.02454666
-21.96472189,64.02456769
-21.96475298,64.02458831
-21.96478424,64.02460854
-21.96481548,64.02462836
-21.96484647,64.02464777
-21.96487717,64.02466678
-21.96490771,64.02468525
-21.96493834,64.02470322
-21.96496915,64.02472064
-21.96503133,64.02475382
-21.96506266,64.02476949
-21.96509413,64.02478468
-21.96512579,64.02479938
-21.96515788,64.02481351
-21.96519062,64.02482693
-21.96522419,64.02483937
-21.96525833,64.02485093
-21.96529294,64.02486162
-21.96536355,64.02488049
-21.96539972,64.02488853
-21.96543647,64.02489565
-21.96551219,64.02490668
-21.96555122,64.02491067
-21.96559105,64.02491348
-21.96563139,64.02491519
-21.96567208,64.02491566
-21.96571288,64.02491486
-21.96575361,64.02491296
-21.96583474,64.02490627
-21.96587534,64.02490204
-21.96591604,64.02489745
-21.96595674,64.02489248
-21.96603723,64.02488056
-21.96607664,64.02487342
-21.96611527,64.02486556
-21.96615309,64.02485719
-21.96622535,64.02483894
-21.96625935,64.02482891
-21.96629147,64.02481815
-21.96635047,64.02479486
-21.96637833,64.02478266
-21.96640575,64.02477021
-21.96643281,64.02475749
-21.96645936,64.02474448
-21.96648514,64.02473116
-21.96653435,64.02470424
-21.96655746,64.02469091
-21.96657935,64.02467774
-21.96661842,64.02465188
-21.96663579,64.02463911
-21.96665181,64.02462643
-21.96667953,64.02460116
-21.96669082,64.02458843
-21.96670707,64.02456274
-21.96671183,64.02454992
-21.96671379,64.02453717
-21.96671322,64.02452452
-21.96670991,64.02451202
-21.96669584,64.02448779
-21.96668532,64.02447629
-21.96667298,64.02446522
-21.96665889,64.02445463
-21.96658735,64.02441757
-21.96656564,64.02441005
-21.96654227,64.02440343
-21.96651743,64.02439766
-21.96649115,64.02439286
-21.96646396,64.02438888
-21.96643609,64.02438576
-21.96640774,64.02438354
-21.96637899,64.02438216
-21.96632023,64.02438139
-21.96629023,64.02438141
-21.96619776,64.02438198
-21.96616623,64.02438222
-21.96613437,64.02438224
-21.96610217,64.02438188
-21.96603662,64.02437987
-21.96600334,64.02437818
-21.96596983,64.02437588
-21.96593626,64.02437278
-21.96590284,64.02436879
-21.96586992,64.02436363
-21.96583786,64.02435748
-21.96580713,64.02435034
-21.96575068,64.02433368
-21.96572485,64.02432441
-21.96567593,64.02430447
-21.96565263,64.02429371
-21.96563027,64.02428243
-21.96560943,64.02427053
-21.96559014,64.02425813
-21.96555676,64.02423189
-21.96554235,64.02421824
-21.96552942,64.02420426
-21.96551761,64.02419002
-21.96550701,64.02417547
-21.96549771,64.02416059
-21.96548969,64.02414545
-21.96548306,64.02413016
-21.96546601,64.02408492
-21.96545975,64.02407022
-21.96544459,64.02404125
-21.96543566,64.02402695
-21.96542586,64.02401282
-21.96541526,64.02399884
-21.96539102,64.02397126
-21.96537751,64.02395748
-21.96533254,64.02391547
-21.96531671,64.02390112
-21.96528691,64.02387152
-21.96527383,64.02385617
-21.96526236,64.02384044
-21.96525228,64.02382441
-21.96523643,64.02379151
-21.96523034,64.02377469
-21.96522552,64.02375767
-21.96522184,64.02374051
-21.96521939,64.02372311
-21.96521823,64.02370553
-21.96521816,64.02368805
-21.96521911,64.02367044
-21.96522262,64.02363528
-21.96522473,64.02361812
-21.96522694,64.02360148
-21.96522919,64.02358555
-21.96523346,64.02355577
-21.96523525,64.02354199
-21.96523668,64.02352882
-21.96523746,64.02351622
-21.96523732,64.02350399
-21.96523589,64.02349207
-21.96523278,64.02348042
-21.96522787,64.02346898
-21.96522064,64.02345777
-21.96519988,64.02343598
-21.96518662,64.02342547
-21.96517195,64.02341519
-21.96515584,64.02340516
-21.96513844,64.02339542
-21.96511952,64.02338611
-21.96507672,64.02336932
-21.96505292,64.02336198
-21.96502784,64.02335528
-21.96497402,64.02334388
-21.96494566,64.02333908
-21.96488684,64.02333165
-21.96485656,64.02332921
-21.96482569,64.02332784
-21.96479434,64.02332744
-21.96469839,64.02333162
-21.96466599,64.02333433
-21.96463348,64.02333753
-21.96460094,64.02334131
-21.96456844,64.02334561
-21.96453597,64.02335052
-21.96450354,64.02335606
-21.96447111,64.02336212
-21.96443872,64.02336853
-21.96440638,64.02337498
-21.96434181,64.02338702
-21.96430945,64.02339242
-21.96427697,64.02339728
-21.96424437,64.02340159
-21.96421169,64.02340524
-21.96417897,64.02340811
-21.96414622,64.02341023
-21.96411354,64.02341143
-21.96408107,64.02341177
-21.96404906,64.02341118
-21.96401786,64.02340961
-21.96395859,64.02340382
-21.96393075,64.02339966
-21.96390416,64.02339467
-21.96383153,64.02337456
-21.96378871,64.02335733
-21.96376926,64.02334771
-21.96375109,64.02333756
-21.96373454,64.02332694
-21.96371955,64.02331604
-21.96370628,64.02330488
-21.96369476,64.02329339
-21.96367642,64.02326908
